"Taxa";"Env";"yield"
"779";"TARA2002";"SW-AMPanel_2013_Imperial_Irr";6924.2560191416
"780";"TARA2002";"SW-AMPanel_2013_Imperial_Dry";4751.7571407208
"801";"UI_PETTIT";"SW-AMPanel_2012_Davis_Dry";6067.4157303371
"802";"UI_PETTIT";"SW-AMPanel_2012_Davis_Irr";6704
"803";"UI_PETTIT";"SW-AMPanel_2013_Imperial_Irr";6906.3107522058
"804";"UI_PETTIT";"SW-AMPanel_2013_Imperial_Dry";6371.3174816809
"813";"9225";"SW-AMPanel_2012_Davis_Dry";6146.0674157303
"814";"9225";"SW-AMPanel_2012_Davis_Irr";6290
"815";"9225";"SW-AMPanel_2013_Imperial_Irr";5887.9168535965
"816";"9225";"SW-AMPanel_2013_Imperial_Dry";5009.7203529236
"817";"SADASH";"SW-AMPanel_2012_Davis_Dry";7573.0337078652
"818";"SADASH";"SW-AMPanel_2012_Davis_Irr";5070
"819";"SADASH";"SW-AMPanel_2013_Imperial_Irr";5120.7566920891
"820";"SADASH";"SW-AMPanel_2013_Imperial_Dry";4132.6454314341
"833";"RESCUE";"SW-AMPanel_2012_Davis_Dry";3078.6516853933
"834";"RESCUE";"SW-AMPanel_2012_Davis_Irr";2430
"845";"SD3997";"SW-AMPanel_2012_Davis_Dry";2764.0449438202
"846";"SD3997";"SW-AMPanel_2012_Davis_Irr";2310
"853";"9246";"SW-AMPanel_2012_Davis_Dry";8134.8314606742
"854";"9246";"SW-AMPanel_2012_Davis_Irr";5600
"855";"9246";"SW-AMPanel_2013_Imperial_Irr";6664.0496485719
"856";"9246";"SW-AMPanel_2013_Imperial_Dry";5743.2331389263
"857";"10013-1";"SW-AMPanel_2012_Davis_Dry";7415.7303370787
"858";"10013-1";"SW-AMPanel_2012_Davis_Irr";6796
"859";"10013-1";"SW-AMPanel_2013_Imperial_Irr";7485.0456108868
"860";"10013-1";"SW-AMPanel_2013_Imperial_Dry";6496.9343502318
"909";"9223";"SW-AMPanel_2012_Davis_Dry";9150
"910";"9223";"SW-AMPanel_2012_Davis_Irr";7310
"911";"9223";"SW-AMPanel_2013_Imperial_Irr";6246.8221923134
"912";"9223";"SW-AMPanel_2013_Imperial_Dry";5263.1972483924
"929";"H0900009";"SW-AMPanel_2012_Davis_Dry";8340
"930";"H0900009";"SW-AMPanel_2012_Davis_Irr";6090
"937";"SD4280";"SW-AMPanel_2012_Davis_Dry";4020
"938";"SD4280";"SW-AMPanel_2012_Davis_Irr";4090
"939";"SD4280";"SW-AMPanel_2013_Imperial_Irr";5573.8746822192
"940";"SD4280";"SW-AMPanel_2013_Imperial_Dry";4994.0182443547
"945";"PEACE";"SW-AMPanel_2012_Davis_Dry";3050
"946";"PEACE";"SW-AMPanel_2012_Davis_Irr";3590
"953";"UC1618";"SW-AMPanel_2012_Davis_Dry";8750
"954";"UC1618";"SW-AMPanel_2012_Davis_Irr";7670
"955";"UC1618";"SW-AMPanel_2013_Imperial_Irr";6475.6243457455
"956";"UC1618";"SW-AMPanel_2013_Imperial_Dry";4711.3802901152
"957";"MACON";"SW-AMPanel_2012_Davis_Dry";6400
"958";"MACON";"SW-AMPanel_2012_Davis_Irr";6468
"959";"MACON";"SW-AMPanel_2013_Imperial_Irr";5874.4579033946
"960";"MACON";"SW-AMPanel_2013_Imperial_Dry";3650.3663825333
"977";"SD4215";"SW-AMPanel_2012_Davis_Dry";3620
"978";"SD4215";"SW-AMPanel_2012_Davis_Irr";5140
"1031";"SUPER_X";"SW-AMPanel_2013_Imperial_Irr";6062.883206221
"1032";"SUPER_X";"SW-AMPanel_2013_Imperial_Dry";6185.1353372215
"1035";"GRACKLE";"SW-AMPanel_2013_Imperial_Irr";6237.8495588455
"1036";"GRACKLE";"SW-AMPanel_2013_Imperial_Dry";6959.0249738298
"1055";"KANCHAN";"SW-AMPanel_2013_Imperial_Irr";4272.8428293704
"1056";"KANCHAN";"SW-AMPanel_2013_Imperial_Dry";6052.7889935696
"1143";"CM1_1";"SW-AMPanel_2013_Imperial_Irr";5681.5462838343
"1144";"CM1_1";"SW-AMPanel_2013_Imperial_Dry";2667.8630177957
"1147";"CM1_11";"SW-AMPanel_2013_Imperial_Irr";7458.127710483
"1148";"CM1_11";"SW-AMPanel_2013_Imperial_Dry";6878.2712726185
"1151";"CM1_15";"SW-AMPanel_2013_Imperial_Irr";7135.1129056378
"1152";"CM1_15";"SW-AMPanel_2013_Imperial_Dry";5693.8836548527
"1263";"CM2_84";"SW-AMPanel_2013_Imperial_Irr";7839.4646328697
"1264";"CM2_84";"SW-AMPanel_2013_Imperial_Dry";5552.5646777329
"1291";"CM3_7";"SW-AMPanel_2013_Imperial_Irr";5977.6431882758
"1292";"CM3_7";"SW-AMPanel_2013_Imperial_Dry";4834.7540002991
"1299";"CM4_284";"SW-AMPanel_2013_Imperial_Irr";6569.8369971587
"1300";"CM4_284";"SW-AMPanel_2013_Imperial_Dry";5720.8015552565
"1307";"CM4_291";"SW-AMPanel_2013_Imperial_Irr";6516.0011963511
"1308";"CM4_291";"SW-AMPanel_2013_Imperial_Dry";6164.9469119187
"1319";"KRICHAUFF";"SW-AMPanel_2013_Imperial_Irr";7664.4982802452
"1320";"KRICHAUFF";"SW-AMPanel_2013_Imperial_Dry";5572.7531030357
"1355";"W99";"SW-AMPanel_2013_Imperial_Irr";5856.5126364588
"1356";"W99";"SW-AMPanel_2013_Imperial_Dry";6532.8248841035
"1367";"PI430750";"SW-AMPanel_2013_Imperial_Irr";6345.5211604606
"1368";"PI430750";"SW-AMPanel_2013_Imperial_Dry";4706.8939733812
"1371";"7020";"SW-AMPanel_2013_Imperial_Irr";4620.5323762524
"1372";"7020";"SW-AMPanel_2013_Imperial_Dry";6963.5112905638
"1391";"1360";"SW-AMPanel_2013_Imperial_Irr";4811.2008374458
"1392";"1360";"SW-AMPanel_2013_Imperial_Dry";6037.0868850008
"1411";"P8921-Q4C5";"SW-AMPanel_2013_Imperial_Irr";7323.5382084642
"1412";"P8921-Q4C5";"SW-AMPanel_2013_Imperial_Dry";4839.2403170331
"1427";"IWA8602387";"SW-AMPanel_2013_Imperial_Irr";6641.618064902
"1428";"IWA8602387";"SW-AMPanel_2013_Imperial_Dry";5007.4771945566
"1447";"UC1710";"SW-AMPanel_2013_Imperial_Irr";5860.9989531928
"1448";"UC1710";"SW-AMPanel_2013_Imperial_Dry";4742.7845072529
