Bacterial_Strains;Treatement;Fungal_Strains;Repeat;Bloc;Fruit;Diametre1;Diametre2;Depth
H1F1;Untreated;Control;3;B2;1;0;0;0
H1F1;Untreated;Control;3;B2;2;0;0;0
H1F1;Untreated;Control;3;B2;3;0;0;0
H1F1;Treated;S2;3;B2;1;1,5;1,5;0,3
H1F1;Treated;S2;3;B2;2;1,3;1,8;0,5
H1F1;Treated;S2;3;B2;3;1,9;1,5;0
H1F1;Treated;S5;3;B2;1;1,2;0,9;0,5
H1F1;Treated;S5;3;B2;2;1;0,8;0,4
H1F1;Treated;S5;3;B2;3;1,3;1,4;0,4
Without_Bacteria;Untreated;Control;3;B2;1;0;0;0
Without_Bacteria;Untreated;Control;3;B2;2;0;0;0
Without_Bacteria;Untreated;Control;3;B2;3;0;0;0
Without_Bacteria;Treated;S2;3;B2;1;1;1;1
Without_Bacteria;Treated;S2;3;B2;2;1,5;1;0,1
Without_Bacteria;Treated;S2;3;B2;3;1,8;1;0,1
Without_Bacteria;Treated;S5;3;B2;1;1;1;0,2
Without_Bacteria;Treated;S5;3;B2;2;1,5;1;0,1
Without_Bacteria;Treated;S5;3;B2;3;1;1;0,5
